trade_date,ticker,isin,sedol,side,qty,price,fees,account
2024-01-10,ABC,GB00ABC00001,0000001,BUY,100,10.00,1.00,GIA
2024-02-05,ABC,GB00ABC00001,0000001,BUY,100,20.00,1.00,GIA
# Section 104 pool now 200 @ avg £15.00
2024-03-10,ABC,GB00ABC00001,0000001,SELL,50,12.00,1.00,GIA
# Disposal uses avg cost £15 → realised loss exists
2024-03-20,ABC,GB00ABC00001,0000001,BUY,50,12.50,1.00,GIA
# Buy within 30 days of the 2024-03-10 sale → triggers 30-day matching
2024-04-15,XYZ,GB00XYZ00002,0000002,BUY,200,50.00,2.00,GIA
2024-05-01,XYZ,GB00XYZ00002,0000002,SELL,100,49.00,1.00,GIA
# Realised loss without 30-day repurchase
2024-06-01,XYZ,GB00XYZ00002,0000002,BUY,100,49.50,1.00,GIA
# Buy after 30 days → no matching
2024-11-30,ABC,GB00ABC00001,0000001,SELL,75,14.00,1.00,GIA
# Applies Section 104 avg cost at that date
2025-02-01,FND,GB00FND00003,0000003,BUY,100,100.00,1.50,GIA
2025-02-15,FND,GB00FND00003,0000003,SELL,100,95.00,1.50,GIA
# Loss; ensure AEA logic appears in report (2024/25 £3,000)
